efta_number,dataset,extension,category,file_size_bytes,file_size_mb,doj_pdf_link,has_audio,has_transcript,transcript_word_count,duration_seconds,video_resolution,brief_description
EFTA01244753,9,wmv,video,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01244753.pdf,,,,,,
EFTA01250813,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01250813.pdf,,,,,,No Images Produced — native file type unknown
EFTA01250814,9,m4a,audio,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01250814.pdf,,,,,,
EFTA01250815,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01250815.pdf,,,,,,No Images Produced — native file type unknown
EFTA01250886,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01250886.pdf,,,,,,No Images Produced — native file type unknown
EFTA01250917,9,unknown,unknown,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01250917.pdf,,,,,,No Images Produced — native file type unknown
EFTA01250922,9,m4a,audio,,,https://www.justice.gov/epstein/files/DataSet%209/EFTA01250922.pdf,,,,,,
EFTA01600794,10,m4v,video,9527,0.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600794.pdf,True,yes,0,0.5,480x848,Video (no speech detected); 480x848; 0s
EFTA01600795,10,m4v,video,24763,0.02,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600795.pdf,True,yes,0,1.9,652x872,Video (no speech detected); 652x872; 2s
EFTA01600796,10,mov,video,1779336,1.7,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600796.pdf,True,yes,0,3.0,960x720,Video (no speech detected); 960x720; 3s
EFTA01600797,10,mov,video,1545283,1.47,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600797.pdf,True,yes,0,2.9,960x720,Video (no speech detected); 960x720; 3s
EFTA01600798,10,mp4,video,6364864987,6070.01,https://www.justice.gov/epstein/files/DataSet%2010/EFTA01600798.pdf,True,yes,0,636.2,4000x2250,Video (no speech detected); 4000x2250; 10.6min
